subj,subj_type,subj_span,obj,obj_type,obj_span,relation
"we need a fresh start, a new credibility, a president who can bring allies to our side",Claim,"((80295, 80381),)",I have a difference with this president,Claim,"((80039, 80078),)",Support
I also know how to lead those alliances,Claim,"((2432, 2471),)",we just have a different set of convictions about how you make America safe,Claim,"((2183, 2258),)",Support
"200,000 by the end of next year",Premise,"((22030, 22061),)",the best way for Iraq to be safe and secure is for Iraqi citizens to be trained to do the job,Claim,"((21842, 21935),)",Support
"He cut if off, sort of arbitrarily",Premise,"((35824, 35858),)",The president said he would exhaust the remedies of the United Nations and go through that full process. He didn't,Premise,"((35708, 35822),)",Support
"I mean, we can remember when President Kennedy in the Cuban missile crisis sent his secretary of state to Paris to meet with DeGaulle",Premise,"((54064, 54197),)","you have to do it in a way that passes the test, that passes the global test where your countrymen, your people understand fully why you're doing what you're doing and you can prove to the world that you did it for legitimate reasons",Claim,"((53697, 53930),)",Support
"China's a got a lot of influence over North Korea, some ways more than we do",Premise,"((57438, 57514),)","we began a new dialogue with North Korea, one that included not only the United States, but now China",Claim,"((57331, 57432),)",Support
"If America shows uncertainty or weakness in this decade, the world will drift toward tragedy",Claim,"((81096, 81188),)","That's not going to happen, so long as I'm your president",Claim,"((81190, 81247),)",Support
This president has left them in shatters across the globe,Premise,"((2474, 2531),)",we just have a different set of convictions about how you make America safe,Claim,"((2183, 2258),)",Support
We'll never succeed in Iraq if the Iraqi citizens do not want to take matters into their own hands to protect themselves,Claim,"((22085, 22205),)",the best indication about when we can bring our troops home is to see the Iraqis perform and to see the Iraqis step up and take responsibility,Claim,"((22284, 22344), (22491, 22573))",Support
They just decided the time for diplomacy is over and rushed to war without planning for what happens afterwards,Premise,"((35927, 36038),)",I think he has not been candid with the American people,Claim,"((35290, 35345),)",Support
"in the middle of the discussion, to tell them about the missiles in Cuba, he said, ""Here, let me show you the photos."" And DeGaulle waved them off and said, ""No, no, no, no. The word of the president of the United States is good enough for me.""",Premise,"((54203, 54447),)","you have to do it in a way that passes the test, that passes the global test where your countrymen, your people understand fully why you're doing what you're doing and you can prove to the world that you did it for legitimate reasons",Claim,"((53697, 53930),)",Support
"we included South Korea, Japan and Russia",Premise,"((57526, 57567),)","we began a new dialogue with North Korea, one that included not only the United States, but now China",Claim,"((57331, 57432),)",Support
The next four years we will continue to strengthen our homeland defenses,Claim,"((81250, 81322),)","That's not going to happen, so long as I'm your president",Claim,"((81190, 81247),)",Support
we're now 90 percent of the casualties in Iraq and 90 percent of the costs,Premise,"((2537, 2611),)",This president has left them in shatters across the globe,Premise,"((2474, 2531),)",Support
the best way for Iraq to be safe and secure is for Iraqi citizens to be trained to do the job,Claim,"((21842, 21935),)",the best indication about when we can bring our troops home is to see the Iraqis perform and to see the Iraqis step up and take responsibility,Claim,"((22284, 22344), (22491, 22573))",Support
They obviously didn't,Premise,"((36127, 36148),)",he misled the American people in his speech when he said we will plan carefully,Claim,"((36046, 36125),)",Support
Here we have our own secretary of state who has had to apologize to the world for the presentation he made to the United Nations,Premise,"((53933, 54061),)","you have to do it in a way that passes the test, that passes the global test where your countrymen, your people understand fully why you're doing what you're doing and you can prove to the world that you did it for legitimate reasons",Claim,"((53697, 53930),)",Attack
"now there are five voices speaking to Kim Jong Il, not just one",Premise,"((57572, 57635),)","we began a new dialogue with North Korea, one that included not only the United States, but now China",Claim,"((57331, 57432),)",Support
We will strengthen our intelligence-gathering services,Claim,"((81324, 81378),)",The next four years we will continue to strengthen our homeland defenses,Claim,"((81250, 81322),)",Support
I think we can do better,Claim,"((2640, 2664),)",I think that's wrong,Claim,"((2614, 2634),)",Support
Prime Minister Allawi believes they want to,Premise,"((22231, 22274),)",I believe they want to,Claim,"((22207, 22229),)",Support
he misled the American people in his speech when he said we will plan carefully,Claim,"((36046, 36125),)",I think he has not been candid with the American people,Claim,"((35290, 35345),)",Support
what is at test here is the credibility of the United States of America and how we lead the world,Claim,"((54554, 54651),)","How many leaders in the world today would respond to us, as a result of what we've done, in that way?",Claim,"((54449, 54550),)",Attack
"he'd be doing injustice to China, as well",Claim,"((57743, 57784),)","if Kim Jong Il decides again to not honor an agreement, he's not only doing injustice to America",Claim,"((57645, 57741),)",Support
We will reform our military,Claim,"((81380, 81407),)",The next four years we will continue to strengthen our homeland defenses,Claim,"((81250, 81322),)",Support
I have a better plan for homeland security,Claim,"((2667, 2709),)",I can make American safer than President Bush has made us,Claim,"((2053, 2110),)",Support
I believe they want to,Claim,"((22207, 22229),)",the best indication about when we can bring our troops home is to see the Iraqis perform and to see the Iraqis step up and take responsibility,Claim,"((22284, 22344), (22491, 22573))",Support
We did not go as a last resort,Claim,"((36226, 36256),)",He misled the American people when he said we'd go to war as a last resort,Claim,"((36150, 36224),)",Support
Iran and Iraq are now more dangerous,Claim,"((54657, 54693),)","As president, I'll never take my eye off that ball",Claim,"((54843, 54893),)",Support
"if Kim Jong Il decides again to not honor an agreement, he's not only doing injustice to America",Claim,"((57645, 57741),)",I think this will work,Claim,"((57791, 57813),)",Support
The military will be an all-volunteer army,Claim,"((81409, 81451),)",We will reform our military,Claim,"((81380, 81407),)",Support
I have a better plan to be able to fight the war on terror,Claim,"((2711, 2769),)",I have a better plan for homeland security,Claim,"((2667, 2709),)",Support
When our general is on the ground and Ambassador Negroponte tells me that Iraq is ready to defend herself from these terrorists,Premise,"((22616, 22743),)",That's wrong,Claim,"((8339, 8351),)",Support
He misled the American people when he said we'd go to war as a last resort,Claim,"((36150, 36224),)",I think he has not been candid with the American people,Claim,"((35290, 35345),)",Support
Iran and North Korea are now more dangerous,Claim,"((54697, 54740),)","As president, I'll never take my eye off that ball",Claim,"((54843, 54893),)",Support
"we began a new dialogue with North Korea, one that included not only the United States, but now China",Claim,"((57331, 57432),)",I think this will work,Claim,"((57791, 57813),)",Support
We will continue to stay on the offense,Claim,"((81454, 81493),)",The next four years we will continue to strengthen our homeland defenses,Claim,"((81250, 81322),)",Support
by strengthening our military,Premise,"((2770, 2799),)",I have a better plan to be able to fight the war on terror,Claim,"((2711, 2769),)",Support
that elections will have been held by then,Premise,"((22745, 22787),)",That's wrong,Claim,"((8339, 8351),)",Support
most Americans know the difference,Premise,"((36262, 36296),)",We did not go as a last resort,Claim,"((36226, 36256),)",Support
I've been fighting for proliferation the entire time -- anti-proliferation the entire time I've been in the Congress,Premise,"((54895, 55011),)",we've watched this president actually turn away from some of the treaties that were on the table,Premise,"((55017, 55113),)",Support
It's not going to work if we open up a dialogue with Kim Jong Il,Claim,"((57815, 57879),)",I think this will work,Claim,"((57791, 57813),)",Attack
We will fight the terrorists around the world,Claim,"((81495, 81540),)",The next four years we will continue to strengthen our homeland defenses,Claim,"((81250, 81322),)",Support
strengthening our intelligence,Premise,"((2801, 2831),)",I have a better plan to be able to fight the war on terror,Claim,"((2711, 2769),)",Support
their stability and that they're on their way to a nation that's free,Premise,"((22794, 22842), (22854, 22874))",That's wrong,Claim,"((8339, 8351),)",Support
I've worked with those leaders the president talks about,Premise,"((36415, 36471),)",I know what many of them say today,Claim,"((36545, 36579),)",Support
we've watched this president actually turn away from some of the treaties that were on the table,Premise,"((55017, 55113),)","You don't help yourself with other nations when you turn away from the global warming treaty, for instance, or when you refuse to deal at length with the United Nations",Premise,"((55116, 55284),)",Support
Thatâ€™s what he wants,Claim,"((57881, 57903),)",It's not going to work if we open up a dialogue with Kim Jong Il,Claim,"((57815, 57879),)",Support
we do not have to face them here at home,Claim,"((81544, 81584),)",We will fight the terrorists around the world,Claim,"((81495, 81540),)",Support
by going after the financing more authoritatively,Premise,"((2833, 2882),)",I have a better plan to be able to fight the war on terror,Claim,"((2711, 2769),)",Support
the best indication about when we can bring our troops home is to see the Iraqis perform and to see the Iraqis step up and take responsibility,Claim,"((22284, 22344), (22491, 22573))",That's wrong,Claim,"((8339, 8351),)",Support
"I've worked with them for 20 years, for longer than this president",Premise,"((36473, 36539),)",I know what many of them say today,Claim,"((36545, 36579),)",Support
"You don't help yourself with other nations when you turn away from the global warming treaty, for instance, or when you refuse to deal at length with the United Nations",Premise,"((55116, 55284),)",I think we have a lot of earning back to do,Claim,"((55322, 55365),)",Support
"He wants to unravel the six- party talks, or the five-nation coalition that's sending him a clear message",Claim,"((57905, 58010),)",It's not going to work if we open up a dialogue with Kim Jong Il,Claim,"((57815, 57879),)",Support
We'll continue to build our alliances,Claim,"((81587, 81624),)",The next four years we will continue to strengthen our homeland defenses,Claim,"((81250, 81322),)",Support
by doing what we need to do to rebuild the alliances,Premise,"((2884, 2936),)",I have a better plan to be able to fight the war on terror,Claim,"((2711, 2769),)",Support
I know putting artificial deadlines won't work,Claim,"((22931, 22977),)",I hope it's as soon as possible,Claim,"((22894, 22925),)",Attack
I know what many of them say today,Claim,"((36545, 36579),)",I know how to bring them back to the table,Claim,"((36585, 36627),)",Support
My attitude is you take preemptive action in order to protect the American people,Claim,"((55526, 55607),)","you have to do it in a way that passes the test, that passes the global test where your countrymen, your people understand fully why you're doing what you're doing and you can prove to the world that you did it for legitimate reasons",Claim,"((53697, 53930),)",Attack
"We worked very closely with the foreign ministers of France, Germany and Great Britain, who have been the folks delivering the message to the mullahs that if you expect to be part of the world of nations, get rid of your nuclear programs.",Premise,"((58156, 58394),)","On Iran, I hope we can do the same thing, continue to work with the world to convince the Iranian mullahs to abandon their nuclear ambitions",Claim,"((58013, 58153),)",Support
"I'll never turn over America's national security needs to leaders of other countries, as we continue to build those alliances",Claim,"((81626, 81751),)",We'll continue to build our alliances,Claim,"((81587, 81624),)",Support
by reaching out to the Muslim world,Premise,"((2938, 2973),)",I have a better plan to be able to fight the war on terror,Claim,"((2711, 2769),)",Support
I know putting artificial deadlines won't work,Claim,"((22931, 22977),)","My opponent at one time said, ""Well, get me elected, I'll have them out of there in six months.""",Premise,"((22979, 23075),)",Attack
Osama bin Laden uses the invasion of Iraq in order to go out to people and say that America has declared war on Islam,Premise,"((36811, 36928),)",We need to be smarter about now we wage a war on terror.,Claim,"((36931, 36987),)",Support
you act in order to make this country secure,Claim,"((55614, 55658),)",My attitude is you take preemptive action in order to protect the American people,Claim,"((55526, 55607),)",Support
The IAEA is involved,Premise,"((58396, 58416),)","On Iran, I hope we can do the same thing, continue to work with the world to convince the Iranian mullahs to abandon their nuclear ambitions",Claim,"((58013, 58153),)",Support
we'll continue to spread freedom,Claim,"((81757, 81789),)",The next four years we will continue to strengthen our homeland defenses,Claim,"((81250, 81322),)",Support
which the president has almost not done,Premise,"((2975, 3014),)",I have a better plan to be able to fight the war on terror,Claim,"((2711, 2769),)",Support
You can't do that and expect to win the war on terror,Claim,"((23076, 23129),)","My opponent at one time said, ""Well, get me elected, I'll have them out of there in six months.""",Premise,"((22979, 23075),)",Attack
"I believe that Ronald Reagan, John Kennedy, and the others did that more effectively",Premise,"((37096, 37180),)",I'm going to try to follow in their footsteps,Claim,"((37186, 37231),)",Support
I think it shows the difference of our opinion -- the difference of opinions,Claim,"((55763, 55839),)",My opponent talks about me not signing certain treaties,Claim,"((55661, 55716),)",Attack
There's a special protocol recently been passed that allows for inspections,Premise,"((58418, 58493),)","On Iran, I hope we can do the same thing, continue to work with the world to convince the Iranian mullahs to abandon their nuclear ambitions",Claim,"((58013, 58153),)",Support
I believe in the transformational power of liberty,Claim,"((81791, 81841),)",we'll continue to spread freedom,Claim,"((81757, 81789),)",Support
beginning to isolate the radical Islamic Muslims,Premise,"((3020, 3068),)",I have a better plan to be able to fight the war on terror,Claim,"((2711, 2769),)",Support
that's essential,Claim,"((23412, 23428),)",A free Iraq will be an ally in the war on terror,Claim,"((23358, 23406),)",Support
I'm going to try to follow in their footsteps,Claim,"((37186, 37231),)",We need to rebuild our alliances,Claim,"((37061, 37093),)",Support
I think it shows the difference of our opinion -- the difference of opinions,Claim,"((55763, 55839),)",we've watched this president actually turn away from some of the treaties that were on the table,Premise,"((55017, 55113),)",Attack
"On Iran, I hope we can do the same thing, continue to work with the world to convince the Iranian mullahs to abandon their nuclear ambitions",Claim,"((58013, 58153),)",we've got a good strategy,Claim,"((58521, 58546),)",Support
I believe that the free Iraq is in this nation's interests,Claim,"((81843, 81901),)",we'll continue to spread freedom,Claim,"((81757, 81789),)",Support
not have them isolate the United States of America,Premise,"((3070, 3120),)",I have a better plan to be able to fight the war on terror,Claim,"((2711, 2769),)",Support
A free Iraq will be an ally in the war on terror,Claim,"((23358, 23406),)",this is a vital mission,Claim,"((23331, 23354),)",Support
this has cost us deeply in the world,Claim,"((36304, 36340),)",He misled the American people when he said we'd go to war as a last resort,Claim,"((36150, 36224),)",Support
This is a body based in The Hague where unaccountable judges and prosecutors can pull our troops or diplomats up for trial,Premise,"((55904, 56026),)",I wouldn't join the International Criminal Court,Claim,"((55854, 55902),)",Support
"With respect to Iran, the British, French, and Germans were the ones who initiated an effort without the United States, regrettably, to begin to try to move to curb the nuclear possibilities in Iran",Premise,"((58593, 58791),)","We worked very closely with the foreign ministers of France, Germany and Great Britain, who have been the folks delivering the message to the mullahs that if you expect to be part of the world of nations, get rid of your nuclear programs.",Premise,"((58156, 58394),)",Attack
I believe a free Afghanistan is in this nation's interest,Claim,"((81903, 81960),)",we'll continue to spread freedom,Claim,"((81757, 81789),)",Support
I have a plan to have a summit with all of the allies,Premise,"((3161, 3214),)",I know I can do a better job in Iraq,Claim,"((3123, 3159),)",Support
we'll get you home as soon as the mission's done,Claim,"((23273, 23321),)",this is a vital mission,Claim,"((23331, 23354),)",Support
We need to be smarter about now we wage a war on terror.,Claim,"((36931, 36987),)","I believe that a fresh start, new credibility, a president who can understand what we have to do to reach out to the Muslim world to make it clear that this is not",Claim,"((36634, 36797),)",Support
I wouldn't join i,Claim,"((56033, 56050),)",I wouldn't join the International Criminal Court,Claim,"((55854, 55902),)",Equivalent
"With respect to Iran, the British, French, and Germans were the ones who initiated an effort without the United States, regrettably, to begin to try to move to curb the nuclear possibilities in Iran",Premise,"((58593, 58791),)",I believe we could have done better,Claim,"((58793, 58828),)",Support
I believe both a free Afghanistan and a free Iraq will serve as a powerful example for millions who plead in silence for liberty in the broader Middle East,Claim,"((81967, 82122),)",we'll continue to spread freedom,Claim,"((81757, 81789),)",Support
something this president has not yet achieved,Premise,"((3216, 3261),)",I know I can do a better job in Iraq,Claim,"((3123, 3159),)",Support
We'll give you all the equipment you need,Claim,"((23226, 23267),)",this is a vital mission,Claim,"((23331, 23354),)",Support
We need to deny them the recruits,Claim,"((36988, 37021),)","I believe that a fresh start, new credibility, a president who can understand what we have to do to reach out to the Muslim world to make it clear that this is not",Claim,"((36634, 36797),)",Support
it's the right move not to join a foreign court that could -- where our people could be prosecuted,Claim,"((56149, 56247),)",I wouldn't join the International Criminal Court,Claim,"((55854, 55902),)",Support
"I think the United States should have offered the opportunity to provide the nuclear fuel, test them, see whether or not they were actually looking for it for peaceful purposes",Claim,"((58830, 59006),)",I believe we could have done better,Claim,"((58793, 58828),)",Support
not yet been able to do to bring people to the table,Premise,"((3263, 3315),)",I know I can do a better job in Iraq,Claim,"((3123, 3159),)",Support
We're standing with you strong,Claim,"((23194, 23224),)",this is a vital mission,Claim,"((23331, 23354),)",Support
We need to deny them the safe havens,Claim,"((37023, 37059),)","I believe that a fresh start, new credibility, a president who can understand what we have to do to reach out to the Muslim world to make it clear that this is not",Claim,"((36634, 36797),)",Support
I wouldn't join the International Criminal Court,Claim,"((55854, 55902),)",My opponent is for joining the International Criminal Court,Claim,"((56250, 56309),)",Attack
"If they weren't willing to work a deal, then we could have put sanctions together",Claim,"((59008, 59089),)","I think the United States should have offered the opportunity to provide the nuclear fuel, test them, see whether or not they were actually looking for it for peaceful purposes",Claim,"((58830, 59006),)",Support
We can do a better job of training the Iraqi forces to defend themselves,Claim,"((3318, 3390),)",I know I can do a better job in Iraq,Claim,"((3123, 3159),)",Support
A free Iraq will set a powerful example in the part of the world that is desperate for freedom,Claim,"((23430, 23524),)",this is a vital mission,Claim,"((23331, 23354),)",Support
We need to rebuild our alliances,Claim,"((37061, 37093),)","I believe that a fresh start, new credibility, a president who can understand what we have to do to reach out to the Muslim world to make it clear that this is not",Claim,"((36634, 36797),)",Support
"I just think trying to be popular, kind of, in the global sense",Claim,"((56311, 56374),)",My opponent is for joining the International Criminal Court,Claim,"((56250, 56309),)",Support
I believe we could have done better,Claim,"((58793, 58828),)",The president did nothing,Claim,"((59091, 59116),)",Attack
I know that we can do a better job of preparing for elections,Claim,"((3396, 3457),)",I know I can do a better job in Iraq,Claim,"((3123, 3159),)",Support
A free Iraq will help secure Israel,Claim,"((23526, 23561),)",this is a vital mission,Claim,"((23331, 23354),)",Support
Osama bin Laden isn't going to determine how we defend ourselves,Claim,"((37415, 37479),)",He said Osama bin Laden uses the invasion of Iraq as an excuse to spread hatred for America,Premise,"((37322, 37413),)",Attack
if it's not in our best interest makes no sense,Claim,"((56376, 56423),)",My opponent is for joining the International Criminal Court,Claim,"((56250, 56309),)",Support
"With respect to North Korea, the real story: We had inspectors and television cameras in the nuclear reactor in North Korea",Premise,"((59118, 59241),)",we knew where the fuel rods were,Premise,"((59309, 59341),)",Support
Saddam Hussein now sits in a prison cell,Premise,"((4447, 4487),)",America and the world are safer for it,Claim,"((4489, 4527),)",Support
A free Iraq will enforce the hopes and aspirations of the reformers in places like Iran,Claim,"((23563, 23650),)",this is a vital mission,Claim,"((23331, 23354),)",Support
Osama bin Laden isn't going to determine how we defend ourselves,Claim,"((37415, 37479),)",Osama bin Laden uses the invasion of Iraq in order to go out to people and say that America has declared war on Islam,Premise,"((36811, 36928),)",Attack
I'm interested in working with our nations and do a lot of it,Claim,"((56425, 56486),)",My opponent is for joining the International Criminal Court,Claim,"((56250, 56309),)",Attack
we knew where the fuel rods were,Premise,"((59309, 59341),)",we knew the limits on their nuclear power,Premise,"((59347, 59388),)",Support
Libya has disarmed,Premise,"((4628, 4646),)",We continue to pursue our policy of disrupting those who proliferate weapons of mass destruction,Claim,"((4529, 4625),)",Support
A free Iraq is essential for the security of this country,Claim,"((23652, 23709),)",this is a vital mission,Claim,"((23331, 23354),)",Support
Osama bin Laden doesn't get to decide,Claim,"((37481, 37518),)",Osama bin Laden isn't going to determine how we defend ourselves,Claim,"((37415, 37479),)",Equivalent
I'm not going to make decisions that I think are wrong for America,Claim,"((56492, 56558),)",My opponent is for joining the International Criminal Court,Claim,"((56250, 56309),)",Attack
The president reversed it publicly while the president of South Korea was here,Premise,"((59524, 59602),)",the president of South Korea went back to South Korea bewildered and embarrassed,Claim,"((59609, 59689),)",Support
The A.Q. Khan network has been brought to justice,Premise,"((4648, 4697),)",We continue to pursue our policy of disrupting those who proliferate weapons of mass destruction,Claim,"((4529, 4625),)",Support
"I was in a rope line just the other day, coming out here from Wisconsin, a couple of young returnees were in the line, one active duty, one from the Guard. And they both looked at me and said: We need you. You've got to help us over there",Premise,"((23984, 24222),)",I believe those troops deserve better than what they are getting today,Claim,"((23878, 23948),)",Support
The American people decide,Claim,"((37520, 37546),)",Osama bin Laden doesn't get to decide,Claim,"((37481, 37518),)",Support
it went against his policy,Premise,"((59698, 59724),)",the president of South Korea went back to South Korea bewildered and embarrassed,Claim,"((59609, 59689),)",Support
I understand free nations will reject terror,Premise,"((4777, 4821),)",we're pursuing a strategy of freedom around the world,Claim,"((4714, 4767),)",Support
There's a sense of American occupation,Claim,"((24579, 24617),)",I believe there's a better way to do this,Claim,"((24229, 24270),)",Support
I decided the right action was in Iraq,Claim,"((37549, 37587),)",Osama bin Laden doesn't get to decide,Claim,"((37481, 37518),)",Support
the president of South Korea went back to South Korea bewildered and embarrassed,Claim,"((59609, 59689),)","I think, is one of the most serious, sort of, reversals or mixed messages that you could possibly send",Claim,"((60062, 60164),)",Support
Free nations will answer the hopes and aspirations of their people,Premise,"((4823, 4889),)",we're pursuing a strategy of freedom around the world,Claim,"((4714, 4767),)",Support
he said our troops would be occupiers in a bitterly hostile land,Premise,"((24466, 24530),)",That's exactly where we find ourselves today,Claim,"((24533, 24577),)",Support
It wasn't a mistake,Claim,"((37621, 37640),)",My opponent calls it a mistake,Claim,"((37589, 37619),)",Attack
"Colin Powell, our secretary of state, announced one day that we were going to continue the dialog of working with the North Koreans",Premise,"((59391, 59522),)","I think, is one of the most serious, sort of, reversals or mixed messages that you could possibly send",Claim,"((60062, 60164),)",Support
Free nations will help us achieve the peace we all want,Premise,"((4891, 4946),)",we're pursuing a strategy of freedom around the world,Claim,"((4714, 4767),)",Support
there was no viable exit strategy,Premise,"((24427, 24460),)",That's exactly where we find ourselves today,Claim,"((24533, 24577),)",Support
I don't think he was misleading when he called Iraq a grave threat in the fall of 2002,Claim,"((37669, 37755),)",He said I misled on Iraq,Premise,"((37643, 37667),)",Attack
"today, there are four to seven nuclear weapons in the hands of North Korea",Premise,"((59932, 60006),)","I think, is one of the most serious, sort of, reversals or mixed messages that you could possibly send",Claim,"((60062, 60164),)",Support
We pursued Al Qaida wherever Al Qaida tries to hide,Claim,"((3895, 3946),)",our nation has been on a multi-pronged strategy to keep our country safer,Claim,"((3819, 3892),)",Support
"the president's father did not go into Iraq, into Baghdad, beyond Basra",Premise,"((24282, 24353),)",there was no viable exit strategy,Premise,"((24427, 24460),)",Support
I don't think he was misleading when he said that it was right to disarm Iraq in the spring of 2003,Claim,"((37758, 37857),)",He said I misled on Iraq,Premise,"((37643, 37667),)",Attack
"While they didn't talk at all, the fuel rods came out, the inspectors were kicked out, the television cameras were kicked out",Premise,"((59801, 59926),)","I think, is one of the most serious, sort of, reversals or mixed messages that you could possibly send",Claim,"((60062, 60164),)",Support
Seventy-five percent of known Al Qaida leaders have been brought to justice,Claim,"((3948, 4023),)",our nation has been on a multi-pronged strategy to keep our country safer,Claim,"((3819, 3892),)",Support
That's exactly where we find ourselves today,Claim,"((24533, 24577),)",There's a sense of American occupation,Claim,"((24579, 24617),)",Support
"I don't think he misled you when he said that, you know, anyone who doubted whether the world was better off without Saddam Hussein in power didn't have the judgment to be president",Claim,"((37860, 38041),)",He said I misled on Iraq,Premise,"((37643, 37667),)",Attack
"for two years, this administration didn't talk at all to North Korea",Premise,"((59730, 59798),)","I think, is one of the most serious, sort of, reversals or mixed messages that you could possibly send",Claim,"((60062, 60164),)",Support
The rest of them know we're after them,Claim,"((4025, 4063),)",our nation has been on a multi-pronged strategy to keep our country safer,Claim,"((3819, 3892),)",Support
The only building that was guarded when the troops when into Baghdad was the oil ministry,Premise,"((24619, 24708),)",There's a sense of American occupation,Claim,"((24579, 24617),)",Support
I think what is misleading is to say you can lead and succeed in Iraq if you keep changing your positions on this war,Claim,"((38077, 38194),)",I don't think he was misleading,Claim,"((38043, 38074),)",Attack
"The minute we have bilateral talks, the six-party talks will unwind",Claim,"((60740, 60807),)","I want bilateral talks which put all of the issues, from the armistice of 1952, the economic issues, the human rights issues, the artillery disposal issues, the DMZ issues and the nuclear issues on the table",Claim,"((60480, 60687),)",Attack
"We've upheld the doctrine that said if you harbor a terrorist, you're equally as guilty as the terrorist",Premise,"((4066, 4170),)",our nation has been on a multi-pronged strategy to keep our country safer,Claim,"((3819, 3892),)",Support
We didn't guard the nuclear facilities,Premise,"((24710, 24748),)",There's a sense of American occupation,Claim,"((24579, 24617),)",Support
I don't think he was misleading,Claim,"((38043, 38074),)",He said I misled on Iraq,Premise,"((37643, 37667),)",Attack
That's exactly what Kim Jong Il wants,Claim,"((60809, 60846),)","The minute we have bilateral talks, the six-party talks will unwind",Claim,"((60740, 60807),)",Support
Taliban are no longer in power,Premise,"((4181, 4211),)",our nation has been on a multi-pronged strategy to keep our country safer,Claim,"((3819, 3892),)",Support
"We didn't guard the foreign office, where you might have found information about weapons of mass destruction",Premise,"((24751, 24859),)",There's a sense of American occupation,Claim,"((24579, 24617),)",Support
"As the politics change, his positions change",Claim,"((38208, 38252),)",I think what is misleading is to say you can lead and succeed in Iraq if you keep changing your positions on this war,Claim,"((38077, 38194),)",Support
The breach on the agreement is highly enriched uranium,Premise,"((60919, 60973),)",the breach on the agreement was not through plutonium,Premise,"((60864, 60917),)",Support
Ten million people have registered to vote in Afghanistan in the upcoming presidential election,Premise,"((4213, 4308),)",our nation has been on a multi-pronged strategy to keep our country safer,Claim,"((3819, 3892),)",Support
We didn't guard the borders,Premise,"((24861, 24888),)",There's a sense of American occupation,Claim,"((24579, 24617),)",Support
that's not how a commander in chief acts,Claim,"((38258, 38298),)","As the politics change, his positions change",Claim,"((38208, 38252),)",Attack
the breach on the agreement was not through plutonium,Premise,"((60864, 60917),)",That's what we caught him doing,Premise,"((60975, 61006),)",Support
"In Iraq, we saw a threat, and we realized that after September the 11th, we must take threats seriously, before they fully materialize",Premise,"((4311, 4445),)",our nation has been on a multi-pronged strategy to keep our country safer,Claim,"((3819, 3892),)",Support
"Almost every step of the way, our troops have been left on these extraordinarily difficult missions",Claim,"((24891, 24990),)",I believe our troops need other allies helping,Claim,"((25100, 25146),)",Support
"The intelligence I looked at was the same intelligence my opponent looked at, the very same intelligence",Premise,"((38317, 38421),)",that's not how a commander in chief acts,Claim,"((38258, 38298),)",Support
That's what we caught him doing,Premise,"((60975, 61006),)",That's where he was breaking the agreement,Claim,"((61008, 61050),)",Support
America and the world are safer for it,Claim,"((4489, 4527),)",our nation has been on a multi-pronged strategy to keep our country safer,Claim,"((3819, 3892),)",Support
I believe our troops need other allies helping,Claim,"((25100, 25146),)",I'm going to hold that summit,Claim,"((25148, 25177),)",Support
"when I stood up there and spoke to the Congress, I was speaking off the same intelligence he looked at to make his decisions to support the authorization of force",Premise,"((38427, 38589),)","The intelligence I looked at was the same intelligence my opponent looked at, the very same intelligence",Premise,"((38317, 38421),)",Support
we've already sanctioned Iran,Claim,"((61134, 61163),)",my opponent said where he worked to put sanctions on Iran,Claim,"((61073, 61130),)",Attack
We continue to pursue our policy of disrupting those who proliferate weapons of mass destruction,Claim,"((4529, 4625),)",our nation has been on a multi-pronged strategy to keep our country safer,Claim,"((3819, 3892),)",Support
"I will bring fresh credibility, a new start, and we will get the job done right",Claim,"((25179, 25258),)",I'm going to hold that summit,Claim,"((25148, 25177),)",Support
Nor was I misleading on the day that the president decided to go to war,Claim,"((38701, 38772),)",I think what is misleading is to say you can lead and succeed in Iraq if you keep changing your positions on this war,Claim,"((38077, 38194),)",Attack
We can't sanction them any more,Claim,"((61165, 61196),)",we've already sanctioned Iran,Claim,"((61134, 61163),)",Support
"I believe I'm going to win,",Claim,"((5203, 5230),)",I don't believe it's going to happen,Claim,"((5165, 5201),)",Support
Not a message a commander in chief gives,Claim,"((25567, 25607),)","what kind of message does it say to our troops in harm's way, ""wrong war, wrong place, wrong time""",Premise,"((25467, 25565),)",Attack
Nor was I misleading on the day that the president decided to go to war,Claim,"((38701, 38772),)",I wasn't misleading when I said he was a threat,Claim,"((38652, 38699),)",Support
There are sanctions in place on Iran,Claim,"((61198, 61234),)",we've already sanctioned Iran,Claim,"((61134, 61163),)",Equivalent
the American people know I know how to lead,Claim,"((5239, 5282),)","I believe I'm going to win,",Claim,"((5203, 5230),)",Support
Not a message a commander in chief gives,Claim,"((25567, 25607),)",Not what a commander in chief does when you're trying to lead troops,Claim,"((25864, 25932),)",Support
when I said that he had made a mistake in not building strong alliances,Claim,"((38773, 38844),)",I wasn't misleading when I said he was a threat,Claim,"((38652, 38699),)",Support
"we were a party to the convention -- to working with Germany, France and Great Britain to send their foreign ministers into Iran",Claim,"((61250, 61378),)","With respect to Iran, the British, French, and Germans were the ones who initiated an effort without the United States, regrettably, to begin to try to move to curb the nuclear possibilities in Iran",Premise,"((58593, 58791),)",Attack
I've shown the American people I know how to lead,Claim,"((5284, 5333),)",the American people know I know how to lead,Claim,"((5239, 5282),)",Support
"this is a ""great diversion.""",Claim,"((25612, 25640),)",Not what a commander in chief does when you're trying to lead troops,Claim,"((25864, 25932),)",Support
